Employee_ID,Employment_Status,Hire_Date,Termination_Date,Total_Tenure_Months,Comp_vs_Market,Final_Salary,Avg_KPI_Career,Promotion_Count,Last_Promotion_Date,Exit_Reason,Attrition_Risk_Score
EMP_000081,Terminated,2018-01-11,2022-11-11,58,14.6%,"$142,000",0.7302,0,,Voluntary_Better_Offer,48.7
EMP_000082,Terminated,2018-01-11,2018-07-12,6,-9.9%,"$95,000",0.6894,0,,Voluntary_Personal,49.4
EMP_000083,Terminated,2018-01-11,2022-02-10,49,-3.7%,"$101,000",0.78,0,,Voluntary_Personal,52.5
EMP_000084,Terminated,2018-01-11,2023-07-13,66,23.0%,"$172,000",0.8183,2,2022-07-12,Voluntary_Better_Offer,42.7
EMP_000085,Terminated,2018-01-11,2020-12-11,35,5.7%,"$178,000",0.718,0,,Voluntary_Personal,42.4
EMP_000086,Terminated,2018-01-11,2022-01-11,48,-19.3%,"$136,000",0.7115,0,,Voluntary_Personal,62.3
EMP_000087,Terminated,2018-01-11,2020-07-12,30,0.5%,"$118,000",0.6489,0,,Voluntary_Personal,62.8
EMP_000088,Active,2018-01-11,,83,1.4%,"$126,000",0.796,0,,,50.9
EMP_000089,Terminated,2018-01-12,2019-10-13,21,8.7%,"$173,000",0.5775,0,,Voluntary_Low_Engagement,55.3
EMP_000090,Terminated,2018-01-12,2021-06-13,41,-4.2%,"$161,000",0.7151,0,,Voluntary_Better_Offer,53.5
EMP_000091,Terminated,2018-01-12,2020-02-12,25,-19.4%,"$85,000",0.6641,0,,Voluntary_Better_Offer,61.4
EMP_000092,Terminated,2018-01-12,2022-05-13,52,8.8%,"$158,000",0.8659,2,2021-05-13,Voluntary_Better_Offer,43.1
EMP_000093,Terminated,2018-01-12,2022-01-12,48,-12.4%,"$148,000",0.6909,0,,Voluntary_Better_Offer,59.9
EMP_000094,Terminated,2018-01-12,2020-05-13,28,31.8%,"$188,000",0.8153,1,2019-05-14,Voluntary_Personal,37.7
EMP_000095,Terminated,2018-01-12,2018-07-13,6,-5.1%,"$130,000",0.5016,0,,Voluntary_Better_Offer,61.3
EMP_000096,Terminated,2018-01-12,2019-02-11,13,8.7%,"$135,000",0.7343,0,,Voluntary_Better_Offer,51.1
EMP_000097,Terminated,2018-01-12,2019-01-12,12,8.5%,"$148,000",0.6349,0,,Voluntary_Low_Engagement,60.9
EMP_000098,Terminated,2018-01-13,2020-10-13,33,21.7%,"$197,000",0.8845,1,2019-10-14,Voluntary_Better_Offer,40
EMP_000099,Terminated,2018-01-13,2023-12-14,71,27.5%,"$150,000",0.6326,0,,Voluntary_Low_Engagement,51.7
EMP_000100,Terminated,2018-01-13,2019-07-14,18,-10.0%,"$123,000",0.7499,0,,Voluntary_Personal,51.8
EMP_000101,Terminated,2018-01-13,2022-03-15,50,-14.7%,"$89,000",0.6808,0,,Voluntary_Personal,60.1
EMP_000102,Active,2018-01-13,,83,14.2%,"$219,000",0.8662,2,2023-12-14,,45.2
EMP_000103,Terminated,2018-01-13,2019-02-12,13,-1.1%,"$135,000",0.7528,0,,Voluntary_Better_Offer,59.6
EMP_000104,Terminated,2018-01-13,2019-06-14,17,1.0%,"$170,000",0.6549,0,,Voluntary_Better_Offer,54.5
EMP_000105,Terminated,2018-01-13,2020-09-13,32,8.6%,"$135,000",0.8812,0,,Voluntary_Personal,43.9
EMP_000106,Terminated,2018-01-13,2019-10-14,21,4.8%,"$193,000",0.5569,0,,Voluntary_Low_Engagement,66.1
EMP_000107,Terminated,2018-01-13,2018-07-14,6,-6.7%,"$116,000",0.4884,0,,Voluntary_Low_Engagement,65.3
EMP_000108,Terminated,2018-01-13,2020-05-14,28,-11.4%,"$149,000",0.6746,0,,Voluntary_Personal,50.5
EMP_000109,Terminated,2018-01-13,2020-08-13,31,-4.2%,"$161,000",0.7124,0,,Voluntary_Personal,53.1
EMP_000110,Terminated,2018-01-14,2020-05-15,28,10.4%,"$137,000",0.6638,0,,Voluntary_Better_Offer,56.2
EMP_000111,Terminated,2018-01-14,2018-11-14,10,-7.3%,"$115,000",0.4127,0,,Involuntary_Performance,76.6
EMP_000112,Terminated,2018-01-14,2020-05-15,28,10.9%,"$187,000",0.7224,0,,Voluntary_Personal,52.3
EMP_000113,Terminated,2018-01-14,2021-01-13,36,3.9%,"$191,000",0.6828,0,,Voluntary_Low_Engagement,51.7
EMP_000114,Terminated,2018-01-14,2018-12-14,11,-12.8%,"$139,000",0.7201,0,,Voluntary_Personal,51.6
EMP_000115,Terminated,2018-01-14,2021-12-14,47,-11.6%,"$149,000",0.8,0,,Voluntary_Better_Offer,48.3
EMP_000116,Terminated,2018-01-14,2019-06-15,17,-0.4%,"$136,000",0.7914,0,,Voluntary_Better_Offer,51.7
EMP_000117,Terminated,2018-01-14,2022-03-16,50,13.6%,"$209,000",0.7342,0,,Voluntary_Low_Engagement,51.8
EMP_000118,Terminated,2018-01-15,2020-10-15,33,22.4%,"$145,000",0.8328,1,2019-10-16,Voluntary_Better_Offer,38.9
EMP_000119,Terminated,2018-01-15,2019-08-16,19,6.8%,"$180,000",0.8262,0,,Voluntary_Personal,56.1
EMP_000120,Terminated,2018-01-15,2019-01-15,12,24.1%,"$146,000",0.82,0,,Involuntary_Restructure,43.4
EMP_000121,Terminated,2018-01-15,2019-09-15,20,-3.3%,"$98,000",0.6086,0,,Voluntary_Low_Engagement,58.6
EMP_000122,Terminated,2018-01-15,2021-07-16,42,-20.8%,"$126,000",0.5911,0,,Involuntary_Performance,69.3
EMP_000123,Terminated,2018-01-15,2018-12-15,11,-9.2%,"$95,000",0.5131,0,,Voluntary_Low_Engagement,55.4
EMP_000124,Terminated,2018-01-15,2019-01-15,12,3.9%,"$106,000",0.7427,0,,Voluntary_Personal,49.5
EMP_000125,Terminated,2018-01-15,2018-09-15,8,18.1%,"$146,000",0.8208,0,,Voluntary_Personal,38.6
EMP_000126,Terminated,2018-01-15,2018-07-16,6,6.2%,"$145,000",0.7649,0,,Voluntary_Better_Offer,44.9
EMP_000127,Terminated,2018-01-15,2020-07-16,30,-4.4%,"$112,000",0.6292,0,,Voluntary_Low_Engagement,60.6
EMP_000128,Terminated,2018-01-15,2020-04-15,27,-6.8%,"$148,000",0.6023,0,,Voluntary_Personal,64.6
EMP_000129,Terminated,2018-01-15,2020-04-15,27,-9.8%,"$106,000",0.769,0,,Voluntary_Personal,47.4
EMP_000130,Terminated,2018-01-15,2023-09-15,68,-11.8%,"$140,000",0.8378,0,,Voluntary_Personal,51.6
EMP_000131,Terminated,2018-01-15,2020-03-16,26,15.2%,"$143,000",0.7501,0,,Voluntary_Better_Offer,51.9
EMP_000132,Terminated,2018-01-15,2020-07-16,30,-20.7%,"$81,000",0.6628,0,,Voluntary_Personal,59.4
EMP_000133,Terminated,2018-01-16,2018-07-17,6,3.7%,"$175,000",0.7051,0,,Voluntary_Personal,52.7
EMP_000134,Terminated,2018-01-16,2024-01-16,72,-7.3%,"$192,000",0.899,2,2023-01-16,Voluntary_Personal,38.8
EMP_000135,Terminated,2018-01-16,2019-04-17,15,-5.5%,"$129,000",0.5467,0,,Voluntary_Low_Engagement,59.5
EMP_000136,Terminated,2018-01-16,2020-02-16,25,-4.9%,"$151,000",0.5686,0,,Voluntary_Low_Engagement,58
EMP_000137,Terminated,2018-01-16,2020-07-17,30,12.4%,"$132,000",0.8314,1,2019-07-17,Involuntary_Restructure,46
EMP_000138,Terminated,2018-01-16,2021-02-15,37,-2.5%,"$102,000",0.7416,0,,Voluntary_Better_Offer,60.2
EMP_000139,Terminated,2018-01-16,2019-09-16,20,-0.9%,"$167,000",0.8241,0,,Voluntary_Personal,50.3
EMP_000140,Terminated,2018-01-16,2018-07-17,6,8.6%,"$134,000",0.6252,0,,Voluntary_Low_Engagement,49.7
EMP_000141,Terminated,2018-01-16,2018-07-17,6,19.5%,"$125,000",0.7982,0,,Voluntary_Personal,39.1
EMP_000142,Terminated,2018-01-16,2021-12-16,47,2.7%,"$127,000",0.6394,0,,Voluntary_Low_Engagement,53.8
EMP_000143,Terminated,2018-01-17,2022-12-17,59,-13.5%,"$91,000",0.7299,0,,Voluntary_Personal,53.7
EMP_000144,Terminated,2018-01-17,2019-01-17,12,7.6%,"$171,000",0.757,0,,Voluntary_Better_Offer,44.7
EMP_000145,Active,2018-01-17,,83,-12.1%,"$148,000",0.754,0,,,56.7
EMP_000146,Terminated,2018-01-17,2018-07-18,6,-0.3%,"$168,000",0.5806,0,,Voluntary_Low_Engagement,58.6
EMP_000147,Terminated,2018-01-17,2021-09-17,44,-8.9%,"$93,000",0.7384,0,,Voluntary_Better_Offer,59
EMP_000148,Terminated,2018-01-17,2022-10-18,57,-16.6%,"$85,000",0.7076,0,,Voluntary_Personal,52.6
EMP_000149,Terminated,2018-01-17,2022-01-17,48,6.3%,"$179,000",0.7694,0,,Voluntary_Better_Offer,45.1
EMP_000150,Terminated,2018-01-17,2019-04-18,15,-2.5%,"$155,000",0.7799,0,,Voluntary_Better_Offer,49.9
EMP_000151,Terminated,2018-01-17,2023-09-17,68,18.3%,"$216,000",0.8077,2,2022-09-17,Voluntary_Better_Offer,43.7
EMP_000152,Terminated,2018-01-17,2024-10-17,81,21.4%,"$288,000",0.882,2,2023-10-18,Voluntary_Personal,33.1
EMP_000153,Terminated,2018-01-18,2018-11-18,10,13.8%,"$192,000",0.8005,0,,Voluntary_Better_Offer,53
EMP_000154,Terminated,2018-01-18,2018-08-19,7,-18.1%,"$96,000",0.5638,0,,Voluntary_Low_Engagement,57.1
EMP_000155,Terminated,2018-01-18,2023-01-18,60,-10.1%,"$106,000",0.7141,0,,Voluntary_Personal,54.9
EMP_000156,Terminated,2018-01-18,2021-01-17,36,1.3%,"$106,000",0.6521,0,,Voluntary_Better_Offer,62.5
EMP_000157,Terminated,2018-01-18,2022-04-19,51,30.5%,"$294,000",0.9042,2,2021-04-19,Voluntary_Better_Offer,39.3
EMP_000158,Terminated,2018-01-18,2020-06-18,29,10.2%,"$136,000",0.7934,0,,Voluntary_Better_Offer,40.5
EMP_000159,Terminated,2018-01-18,2019-06-19,17,5.9%,"$178,000",0.7746,0,,Voluntary_Personal,50.7
EMP_000160,Terminated,2018-01-18,2019-01-18,12,2.3%,"$107,000",0.8218,0,,Involuntary_Restructure,48.5
EMP_000161,Terminated,2018-01-19,2023-05-21,64,-2.0%,"$163,000",0.8171,2,2022-05-20,Voluntary_Personal,49.5
EMP_000162,Terminated,2018-01-19,2021-04-20,39,0.5%,"$137,000",0.7073,0,,Voluntary_Better_Offer,54.5
EMP_000163,Terminated,2018-01-19,2018-07-20,6,-19.5%,"$95,000",0.6158,0,,Voluntary_Better_Offer,61.9
EMP_000164,Terminated,2018-01-19,2019-01-19,12,-12.9%,"$119,000",0.5995,0,,Involuntary_Restructure,64.1
EMP_000165,Terminated,2018-01-19,2021-04-20,39,3.8%,"$175,000",0.8235,0,,Voluntary_Personal,47.2
EMP_000166,Terminated,2018-01-19,2019-04-20,15,13.6%,"$133,000",0.6758,0,,Voluntary_Low_Engagement,53.5
EMP_000167,Terminated,2018-01-19,2018-10-19,9,-0.5%,"$104,000",0.423,0,,Voluntary_Low_Engagement,64.8
EMP_000168,Terminated,2018-01-19,2018-12-19,11,3.9%,"$129,000",0.6257,0,,Voluntary_Low_Engagement,52.3
EMP_000169,Terminated,2018-01-20,2020-02-20,25,-8.4%,"$93,000",0.6879,0,,Voluntary_Better_Offer,61.7
EMP_000170,Terminated,2018-01-20,2024-07-21,78,-8.9%,"$168,000",0.8293,0,,Voluntary_Better_Offer,49.2
EMP_000171,Terminated,2018-01-20,2023-02-19,61,-1.1%,"$167,000",0.7948,0,,Voluntary_Better_Offer,50.8
EMP_000172,Terminated,2018-01-20,2020-07-21,30,11.9%,"$188,000",0.6897,0,,Voluntary_Better_Offer,55.4
EMP_000173,Terminated,2018-01-20,2020-06-20,29,14.7%,"$135,000",0.6467,0,,Voluntary_Better_Offer,58.9
EMP_000174,Terminated,2018-01-20,2019-12-21,23,11.0%,"$204,000",0.5821,0,,Voluntary_Low_Engagement,53.1
EMP_000175,Terminated,2018-01-20,2021-10-20,45,-10.8%,"$150,000",0.6369,0,,Voluntary_Personal,58.6
EMP_000176,Terminated,2018-01-20,2021-10-20,45,5.5%,"$194,000",0.7055,0,,Voluntary_Low_Engagement,47.6
EMP_000177,Terminated,2018-01-21,2020-12-21,35,21.2%,"$226,000",0.8292,1,2019-12-22,Involuntary_Restructure,39.5
EMP_000178,Terminated,2018-01-21,2022-05-22,52,1.9%,"$171,000",0.769,0,,Voluntary_Personal,51.8
EMP_000179,Terminated,2018-01-21,2018-11-21,10,1.7%,"$120,000",0.7139,0,,Voluntary_Personal,56.2
EMP_000180,Terminated,2018-01-21,2019-05-23,16,17.1%,"$145,000",0.5189,0,,Voluntary_Low_Engagement,62.5
EMP_000181,Terminated,2018-01-21,2024-10-21,81,-17.6%,"$102,000",0.7152,0,,Voluntary_Personal,57.6
EMP_000182,Terminated,2018-01-21,2021-03-22,38,-5.1%,"$118,000",0.805,0,,Voluntary_Personal,48.7
EMP_000183,Terminated,2018-01-21,2020-08-21,31,-9.7%,"$112,000",0.6552,0,,Voluntary_Personal,63.3
EMP_000184,Terminated,2018-01-22,2023-01-22,60,-3.3%,"$205,000",0.8635,2,2022-01-22,Voluntary_Personal,43.2
EMP_000185,Terminated,2018-01-22,2020-03-23,26,-12.3%,"$92,000",0.74,0,,Involuntary_Performance,59.5
EMP_000186,Terminated,2018-01-22,2018-07-23,6,19.3%,"$148,000",0.8079,0,,Voluntary_Personal,43.2
EMP_000187,Terminated,2018-01-22,2021-04-23,39,-4.1%,"$131,000",0.7675,0,,Voluntary_Personal,52.5
EMP_000188,Terminated,2018-01-22,2019-06-23,17,9.6%,"$115,000",0.5735,0,,Voluntary_Low_Engagement,61.4
EMP_000189,Terminated,2018-01-22,2020-06-22,29,1.1%,"$125,000",0.6766,0,,Voluntary_Better_Offer,55.7
EMP_000190,Terminated,2018-01-23,2019-10-24,21,19.6%,"$125,000",0.729,0,,Voluntary_Better_Offer,49.9
EMP_000191,Terminated,2018-01-23,2018-07-24,6,6.8%,"$112,000",0.7786,0,,Voluntary_Personal,50.8
EMP_000192,Terminated,2018-01-23,2021-03-24,38,11.3%,"$113,000",0.8868,0,,Voluntary_Personal,47.4
EMP_000193,Terminated,2018-01-23,2021-02-22,37,-7.5%,"$97,000",0.6493,0,,Involuntary_Performance,60.5
EMP_000194,Terminated,2018-01-23,2019-01-23,12,-13.2%,"$91,000",0.598,0,,Involuntary_Performance,68.4
EMP_000195,Terminated,2018-01-23,2024-01-23,72,9.1%,"$173,000",0.7544,0,,Voluntary_Better_Offer,52.7
EMP_000196,Terminated,2018-01-23,2023-04-24,63,-4.5%,"$130,000",0.7052,0,,Voluntary_Better_Offer,56.4
EMP_000197,Terminated,2018-01-24,2022-12-24,59,11.3%,"$183,000",0.9673,2,2021-12-24,Voluntary_Better_Offer,32.2
EMP_000198,Terminated,2018-01-24,2018-07-25,6,4.4%,"$123,000",0.7343,0,,Voluntary_Better_Offer,45.3
EMP_000199,Terminated,2018-01-24,2020-07-25,30,1.2%,"$138,000",0.8178,0,,Voluntary_Personal,46.1
EMP_000200,Terminated,2018-01-24,2020-08-24,31,-14.7%,"$157,000",0.7422,0,,Voluntary_Personal,56.5
EMP_000201,Terminated,2018-01-25,2021-01-24,36,-3.9%,"$153,000",0.5969,0,,Voluntary_Low_Engagement,69.1
EMP_000202,Terminated,2018-01-25,2020-05-26,28,-12.1%,"$92,000",0.6681,0,,Involuntary_Restructure,57.3
EMP_000203,Terminated,2018-01-25,2019-01-25,12,10.4%,"$137,000",0.8612,0,,Involuntary_Restructure,45.2
EMP_000204,Terminated,2018-01-25,2019-12-26,23,17.0%,"$123,000",0.9451,0,,Voluntary_Better_Offer,37.9
EMP_000205,Terminated,2018-01-25,2020-06-25,29,-8.2%,"$125,000",0.6846,0,,Voluntary_Personal,55
EMP_000206,Terminated,2018-01-25,2019-11-25,22,1.4%,"$171,000",0.6148,0,,Voluntary_Low_Engagement,57.2
EMP_000207,Terminated,2018-01-25,2018-07-26,6,-4.0%,"$101,000",0.7742,0,,Voluntary_Better_Offer,48.3
EMP_000208,Terminated,2018-01-26,2018-07-27,6,-7.3%,"$156,000",0.7192,0,,Voluntary_Better_Offer,61.6
EMP_000209,Terminated,2018-01-26,2022-12-26,59,0.1%,"$207,000",0.9098,2,2021-12-26,Voluntary_Better_Offer,43.2
EMP_000210,Terminated,2018-01-26,2019-06-27,17,-6.8%,"$127,000",0.4326,0,,Voluntary_Low_Engagement,68.4
EMP_000211,Terminated,2018-01-26,2018-10-26,9,-20.8%,"$126,000",0.5151,0,,Involuntary_Performance,74.1
EMP_000212,Terminated,2018-01-26,2019-11-26,22,9.8%,"$129,000",0.7055,0,,Voluntary_Personal,52.7
EMP_000213,Terminated,2018-01-26,2019-07-27,18,-12.0%,"$148,000",0.6103,0,,Voluntary_Low_Engagement,56.2
EMP_000214,Terminated,2018-01-26,2019-07-27,18,-20.9%,"$133,000",0.5564,0,,Voluntary_Low_Engagement,67.1
EMP_000215,Terminated,2018-01-26,2020-07-27,30,3.5%,"$108,000",0.6617,0,,Voluntary_Personal,51.2
EMP_000216,Terminated,2018-01-26,2021-04-27,39,1.9%,"$120,000",0.6785,0,,Voluntary_Personal,64.7
EMP_000217,Active,2018-01-26,,83,0.3%,"$124,000",0.7319,0,,,54.1
EMP_000218,Terminated,2018-01-27,2019-03-29,14,3.0%,"$173,000",0.7395,0,,Voluntary_Better_Offer,53.9
